task,topology_family,feature_group,drift,macro_f1_mean,macro_f1_std,bal_acc_mean,bal_acc_std,class_mae_mean,class_mae_std,adjacent_acc_mean,adjacent_acc_std
scale,line,All,0.2,0.9842459586954753,0.009616573797186624,0.984375,0.009579250785443767,0.015625,0.009579250785443779,1.0,0.0
scale,line,All,0.4,0.9659143523355459,0.012648325107511457,0.9666666666666668,0.01205038433779665,0.03402777777777778,0.01189373386913438,0.9993055555555557,0.0014640174352631334
scale,line,All,0.6,0.9349882286306468,0.029797461216391707,0.9371527777777777,0.0274112586445809,0.06458333333333333,0.028454337954387496,0.998263888888889,0.002455231879119948
scale,line,All,0.8,0.8932977031605137,0.029414233346037197,0.8954861111111112,0.027751241182588808,0.11041666666666668,0.02949913392976665,0.9940972222222223,0.006135351055878969
scale,line,All,1.0,0.8521085196134383,0.02757869547000477,0.8559027777777779,0.026201924589517932,0.15694444444444447,0.02708432255236806,0.9875000000000002,0.006588078458684147
scale,line,Complexity,0.0,0.8780282251480779,0.01281125382036296,0.8802083333333334,0.012492496032941518,0.14652777777777776,0.01784060080370157,0.978125,0.011579859665074783
scale,line,Complexity,0.2,0.8131134548883299,0.01959484718880393,0.8159722222222221,0.01943617549044753,0.22083333333333335,0.026805915368914975,0.96875,0.012465659275774288
scale,line,Complexity,0.4,0.7436687212220209,0.033116476874270155,0.7447916666666666,0.03371414736951279,0.35381944444444446,0.05544573443228302,0.9270833333333334,0.01815322585805338
scale,line,Complexity,0.6,0.6804932943239139,0.019736978248421355,0.6781250000000001,0.020381546807697135,0.49826388888888884,0.03613076684904623,0.8840277777777776,0.014288240150010144
scale,line,Complexity,0.8,0.6142060540506094,0.027033981801646064,0.6079861111111111,0.027847616680805865,0.6420138888888889,0.05169479562508002,0.8413194444444445,0.016290277981714625
scale,line,Complexity,1.0,0.5736167681072272,0.039418851334118585,0.5680555555555558,0.040433129522249,0.7125000000000001,0.0698828752638587,0.8184027777777777,0.019439621315399787
scale,line,Operational,0.0,0.8473396386456923,0.02407818194895643,0.8465277777777777,0.024211679379616446,0.17743055555555556,0.025851932273301632,0.9833333333333334,0.006708970715828465
scale,line,Operational,0.2,0.6303602454144583,0.025666710153900523,0.6295138888888888,0.02546559329848603,0.4059027777777778,0.032343273179424,0.9756944444444443,0.007500857289823903
scale,line,Operational,0.4,0.4632190322695234,0.02226395337758824,0.4805555555555555,0.01999335452008257,0.64375,0.03867195889354357,0.8916666666666666,0.021886938247357053
scale,line,Operational,0.6,0.39229186005075595,0.04218559588140948,0.41875,0.04115555863864212,0.8159722222222223,0.06642752246426732,0.8024305555555555,0.031884420929522525
scale,line,Operational,0.8,0.33769072352167573,0.0510581178844338,0.3736111111111111,0.04604096255722896,0.9736111111111111,0.10061059727459438,0.726388888888889,0.03988607963215359
scale,line,Operational,1.0,0.29998782387612644,0.04519874267726179,0.33888888888888885,0.045895253721152274,1.0871527777777779,0.09717329566958939,0.6847222222222222,0.03502185531627699
scale,line,Topological,0.0,0.9835871832252827,0.007624639935267392,0.9836805555555556,0.00750978157292051,0.016319444444444445,0.007509781572920526,1.0,0.0
scale,line,Topological,0.2,0.9741256326968253,0.008487961159683817,0.9743055555555555,0.008378222717987925,0.025694444444444447,0.008378222717987898,1.0,0.0
