task,topology_family,repeat,drift,feature_group,macro_f1,bal_acc,class_mae,adjacent_acc
boundary,line,8,0.8,Operational,0.6051765738100461,0.6527777777777778,,
boundary,line,8,0.8,All,0.6442534908700321,0.6805555555555556,,
boundary,line,8,1.0,Topological,0.625,0.6666666666666666,,
boundary,line,8,1.0,Complexity,0.6442534908700321,0.6805555555555556,,
boundary,line,8,1.0,Operational,0.5636363636363637,0.625,,
boundary,line,8,1.0,All,0.5418181818181818,0.6111111111111112,,
boundary,line,9,0.0,Topological,0.9302190346966467,0.9305555555555556,,
boundary,line,9,0.0,Complexity,0.9861084314103801,0.9861111111111112,,
boundary,line,9,0.0,Operational,0.9027590198726606,0.9027777777777777,,
boundary,line,9,0.0,All,0.9582608695652175,0.9583333333333333,,
boundary,line,9,0.2,Topological,0.9302190346966467,0.9305555555555556,,
boundary,line,9,0.2,Complexity,0.9026086956521739,0.9027777777777778,,
boundary,line,9,0.2,Operational,0.83125,0.8333333333333333,,
boundary,line,9,0.2,All,0.9444444444444444,0.9444444444444444,,
boundary,line,9,0.4,Topological,0.9302190346966467,0.9305555555555556,,
boundary,line,9,0.4,Complexity,0.8300550747442959,0.8333333333333333,,
boundary,line,9,0.4,Operational,0.7559322033898306,0.7638888888888888,,
boundary,line,9,0.4,All,0.9305421570519004,0.9305555555555556,,
boundary,line,9,0.6,Topological,0.9027590198726606,0.9027777777777777,,
boundary,line,9,0.6,Complexity,0.7979149959903769,0.8055555555555556,,
boundary,line,9,0.6,Operational,0.6688963210702341,0.6944444444444444,,
boundary,line,9,0.6,All,0.8447971781305115,0.8472222222222222,,
boundary,line,9,0.8,Topological,0.9027590198726606,0.9027777777777777,,
boundary,line,9,0.8,Complexity,0.7662337662337662,0.7777777777777778,,
boundary,line,9,0.8,Operational,0.6017021276595744,0.6388888888888888,,
boundary,line,9,0.8,All,0.8151293699387714,0.8194444444444444,,
boundary,line,9,1.0,Topological,0.737012987012987,0.75,,
boundary,line,9,1.0,Complexity,0.6051765738100461,0.6527777777777778,,
boundary,line,9,1.0,Operational,0.41978021978021973,0.5416666666666666,,
boundary,line,9,1.0,All,0.5847382431233363,0.6388888888888888,,
scale,line,0,0.0,Topological,0.9895810955961334,0.9895833333333334,0.010416666666666666,1.0
scale,line,0,0.0,Complexity,0.8791275100291035,0.8819444444444443,0.15625,0.96875
scale,line,0,0.0,Operational,0.8479740175733285,0.8472222222222223,0.1736111111111111,0.9826388888888888
scale,line,0,0.0,All,0.9895731508634734,0.9895833333333334,0.010416666666666666,1.0
